,ghi,dhi,dni,temp_air,wind_speed,solar_azimuth,solar_elevation
2021-10-05 11:00:00+02:00,555.849982828103,50.20031954700206,1073.0370822778414,16.870000000000005,8.4,130.1054010193038,28.11431338847474
2021-10-05 12:00:00+02:00,585.6333144096097,31.01855837616935,957.9785727117462,18.970000000000027,9.36,145.50074265433733,35.37621610760019
2021-10-05 13:00:00+02:00,608.0823462580128,151.66378366368184,709.58172388009,20.129999999999995,9.83,163.46890158308767,40.03249629545369
2021-10-05 14:00:00+02:00,615.6865377247833,148.29834780956813,708.3544133462062,20.620000000000005,10.01,183.09371762029028,41.28633811660286
2021-10-05 15:00:00+02:00,615.3789625716295,116.05245020605241,795.5207080481074,20.439999999999998,9.94,202.37066629232416,38.878615568921234
2021-10-05 16:00:00+02:00,277.35417060927733,248.27624339308682,52.9816453510632,19.480000000000018,9.4,219.54496666371736,33.28679702344843
2021-10-05 17:00:00+02:00,54.348228575171646,54.348228575171646,0.0,18.5,8.77,234.12135572998235,25.375181937121795
2021-10-05 18:00:00+02:00,73.86534486841552,73.86534486841552,0.0,18.140000000000043,8.34,246.550618733923,15.968509622276917
2021-10-05 19:00:00+02:00,8.917982021735305,8.917982021735305,0.0,17.610000000000014,7.96,257.5869151673127,5.761329385271101
2021-10-05 20:00:00+02:00,0.0,0.0,-0.0,16.370000000000005,7.34,267.9906645063532,-5.116891154345173
2021-10-05 21:00:00+02:00,0.0,0.0,-0.0,15.650000000000034,7.31,278.5061452109016,-15.992758451276247
2021-10-05 22:00:00+02:00,0.0,0.0,-0.0,15.170000000000016,7.38,289.9520905249156,-26.504202560568334
2021-10-05 23:00:00+02:00,0.0,0.0,-0.0,14.850000000000023,7.51,303.33915003463915,-36.19929579376456
2021-10-06 00:00:00+02:00,0.0,0.0,-0.0,14.550000000000011,7.66,319.87102933697986,-44.31810912522325
2021-10-06 01:00:00+02:00,0.0,0.0,-0.0,14.120000000000005,7.66,340.376990877825,-49.740424236902975
2021-10-06 02:00:00+02:00,0.0,0.0,-0.0,13.590000000000032,7.64,123.77060182743881,-51.25562619421591
2021-10-06 03:00:00+02:00,0.0,0.0,-0.0,13.03000000000003,7.63,26.56063057485611,-48.428296798302334
2021-10-06 04:00:00+02:00,0.0,0.0,-0.0,12.439999999999998,7.56,45.826795213891224,-42.036016457820295
2021-10-06 05:00:00+02:00,0.0,0.0,-0.0,11.930000000000007,7.38,61.26081543870349,-33.332911857759086
2021-10-06 06:00:00+02:00,0.0,0.0,-0.0,11.54000000000002,7.06,73.93265482378523,-23.329803725144327
2021-10-06 07:00:00+02:00,0.0,0.0,-0.0,11.32000000000005,6.7,85.0069697106402,-12.691116331596866
2021-10-06 08:00:00+02:00,9.760549889624466,9.760549889624466,-0.0,11.140000000000043,6.49,95.42455686494985,-1.7337277478362196
2021-10-06 09:00:00+02:00,164.07606301417226,26.270462218970014,893.5581586185203,11.920000000000016,6.49,105.96791746363769,8.871630516829464
2021-10-06 10:00:00+02:00,262.16612220077616,110.73738796745917,468.2139691798222,14.090000000000032,6.61,117.3774029224623,18.86974571571891
2021-10-06 11:00:00+02:00,462.0144897635527,67.59418400153346,844.6907325672627,16.860000000000014,6.48,130.41524404685225,27.835879780158727
2021-10-06 12:00:00+02:00,608.3780365284331,84.33570408156373,912.350409359592,19.129999999999995,5.16,145.77444003787312,35.056723768603064
2021-10-06 13:00:00+02:00,684.9645223435145,78.30944057198376,950.2693504876705,20.33000000000004,3.33,163.66414410959626,39.6728597967265
2021-10-06 14:00:00+02:00,675.085700725767,82.28454964017385,905.3782057379536,20.840000000000032,2.25,183.17055785177527,40.901095796321265
2021-10-06 15:00:00+02:00,665.2343300700777,53.010386333150855,983.6735256483829,20.970000000000027,2.07,202.3258104758323,38.490531818002594
2021-10-06 16:00:00+02:00,526.489839737336,95.8261410937559,792.5807260810456,20.890000000000043,1.64,219.41165068581483,32.91326868761362
2021-10-06 17:00:00+02:00,394.6310040889852,70.76223727844433,765.7017509076679,20.57000000000005,1.3,233.93779064930322,25.022230031519822
2021-10-06 18:00:00+02:00,195.71930904014184,46.55572633686552,553.4847546804843,19.939999999999998,1.04,246.34180547683664,15.634456057030402
2021-10-06 19:00:00+02:00,23.76682024079035,21.415533717492153,24.76111131300311,18.420000000000016,1.08,257.3651716425933,5.448951077839296
2021-10-06 20:00:00+02:00,0.0,0.0,-0.0,16.370000000000005,1.02,267.7611436233229,-5.448916947899608
2021-10-06 21:00:00+02:00,0.0,0.0,-0.0,15.840000000000032,1.54,278.2717271144214,-16.311873691908552
2021-10-06 22:00:00+02:00,0.0,0.0,-0.0,15.490000000000009,2.13,289.71830418081635,-26.833946022039218
2021-10-06 23:00:00+02:00,0.0,0.0,-0.0,14.860000000000014,2.69,303.1220312133372,-36.547868426954345
2021-10-07 00:00:00+02:00,0.0,0.0,-0.0,14.260000000000048,3.05,319.7103023470729,-44.690212868055966
2021-10-07 01:00:00+02:00,0.0,0.0,-0.0,13.740000000000009,3.13,340.34227453791385,-50.12863044338322
2021-10-07 02:00:00+02:00,0.0,0.0,-0.0,13.270000000000039,3.31,123.9157526537279,-51.633500944076765
2021-10-07 03:00:00+02:00,0.0,0.0,-0.0,12.910000000000025,3.56,26.851343995276164,-48.76613268696793
2021-10-07 04:00:00+02:00,0.0,0.0,-0.0,12.800000000000011,3.63,46.17940152682399,-42.32479478244739
2021-10-07 05:00:00+02:00,0.0,0.0,-0.0,12.900000000000034,3.63,61.62057672665688,-33.58195293437938
2021-10-07 06:00:00+02:00,0.0,0.0,-0.0,13.100000000000023,3.65,74.2810637851334,-23.553617346839033
2021-10-07 07:00:00+02:00,0.0,0.0,-0.0,13.07000000000005,3.66,85.34277930643975,-12.903334114126778
2021-10-07 08:00:00+02:00,0.0,0.0,-0.0,13.379999999999995,3.44,95.75185240146462,-1.949065893967437
2021-10-07 09:00:00+02:00,48.09889157210189,26.205830406937388,145.57043803968463,14.390000000000043,3.2,106.29072122960001,8.649816136401112
2021-10-07 10:00:00+02:00,153.69984960069408,134.05337175018795,61.520395695429706,16.53000000000003,3.29,117.69600726385585,18.623560729135917
