,gpoa,pdc,pac
2020-10-12 08:00:00-07:00,370.567700958252,1067.73298513082,1005.217354610798
2020-10-12 09:00:00-07:00,637.925889078776,1912.4968070272303,1813.330661505196
2020-10-12 10:00:00-07:00,850.520841471354,2540.53869688237,2386.385208641213
2020-10-12 11:00:00-07:00,1002.66986490885,2816.388784895724,2666.0
2020-10-12 12:00:00-07:00,1084.31512451171,2791.29548524719,2666.0
2020-10-12 13:00:00-07:00,1071.80766601562,2802.1310125808977,2666.0
2020-10-12 14:00:00-07:00,972.947518920898,2745.00664284895,2564.076448390073
2020-10-12 15:00:00-07:00,803.584759521484,2326.76112042731,2179.9611675675883
2020-10-12 16:00:00-07:00,570.039962768554,1705.7666939241303,1602.7325227159772
2020-10-12 17:00:00-07:00,287.587774658203,862.4859126406138,804.3914467467945
2020-10-12 18:00:00-07:00,90.9593588176526,216.171429619972,185.6219970043862
2020-10-12 19:00:00-07:00,0.0,,
2020-10-12 20:00:00-07:00,0.0,,
2020-10-12 21:00:00-07:00,0.0,,
2020-10-12 22:00:00-07:00,0.0,,
2020-10-12 23:00:00-07:00,0.0,,
2020-10-13 00:00:00-07:00,0.0,,
2020-10-13 01:00:00-07:00,0.0,,
2020-10-13 02:00:00-07:00,0.0,,
2020-10-13 03:00:00-07:00,0.0,,
2020-10-13 04:00:00-07:00,0.0,,
2020-10-13 05:00:00-07:00,0.0,,
2020-10-13 06:00:00-07:00,0.0,,
2020-10-13 07:00:00-07:00,97.9498182900097,216.71678642529199,184.1069997962644
2020-10-13 08:00:00-07:00,376.411942545572,1083.3300999344099,1010.2880507460044
2020-10-13 09:00:00-07:00,643.438693237304,1885.6206289823701,1788.8833348348696
2020-10-13 10:00:00-07:00,864.043002319336,2460.82952676189,2306.3198696634154
2020-10-13 11:00:00-07:00,1015.8550394694,2807.10130637983,2661.220170139861
2020-10-13 12:00:00-07:00,1087.00459798177,2846.4590859993955,2666.0
2020-10-13 13:00:00-07:00,1074.8497273763,2809.8063875697503,2666.0
2020-10-13 14:00:00-07:00,979.363032023111,2697.14259422623,2510.0211068736603
2020-10-13 15:00:00-07:00,801.848062133789,2288.09498805219,2133.0718967287826
2020-10-13 16:00:00-07:00,566.832371520996,1675.78336100507,1601.0473824215185
2020-10-13 17:00:00-07:00,282.169006856282,843.1895584824019,784.7141427733628
2020-10-13 18:00:00-07:00,95.5676645914713,223.99816490801797,193.26778167965543
2020-10-13 19:00:00-07:00,0.0,,
2020-10-13 20:00:00-07:00,0.0,,
2020-10-13 21:00:00-07:00,0.0,,
2020-10-13 22:00:00-07:00,0.0,,
2020-10-13 23:00:00-07:00,0.0,,
2020-10-14 00:00:00-07:00,0.0,,
2020-10-14 01:00:00-07:00,0.0,,
2020-10-14 02:00:00-07:00,0.0,,
2020-10-14 03:00:00-07:00,0.0,,
2020-10-14 04:00:00-07:00,0.0,,
2020-10-14 05:00:00-07:00,0.0,,
2020-10-14 06:00:00-07:00,0.0,,
2020-10-14 07:00:00-07:00,80.7171520527372,182.309826550293,150.94964912757052
2020-10-14 08:00:00-07:00,334.660549418131,951.4027811495171,889.2879921829666
2020-10-14 09:00:00-07:00,603.383747863769,1758.61156734373,1645.3900466110408
2020-10-14 10:00:00-07:00,828.47790629069,2350.94254506928,2218.05039069072
2020-10-14 11:00:00-07:00,993.405265299479,2729.9590513524495,2541.47637082769
2020-10-14 12:00:00-07:00,1064.61456705729,2820.971893520009,2666.0
2020-10-14 13:00:00-07:00,1054.6191833496,2801.1683594414403,2666.0
2020-10-14 14:00:00-07:00,956.206020100911,2643.55272855218,2478.458374390561
2020-10-14 15:00:00-07:00,780.032087198893,2236.9333231033106,2124.9358397224687
2020-10-14 16:00:00-07:00,551.441187032063,1647.83007380198,1558.4857030040905
2020-10-14 17:00:00-07:00,276.52066930135,810.4240047838127,754.9614569594345
2020-10-14 18:00:00-07:00,88.56796169281,187.271977275711,156.75919129521645
2020-10-14 19:00:00-07:00,0.0,,
2020-10-14 20:00:00-07:00,0.0,,
2020-10-14 21:00:00-07:00,0.0,,
2020-10-14 22:00:00-07:00,0.0,,
2020-10-14 23:00:00-07:00,0.0,,
2020-10-15 00:00:00-07:00,0.0,,
2020-10-15 01:00:00-07:00,0.0,,
2020-10-15 02:00:00-07:00,0.0,,
2020-10-15 03:00:00-07:00,0.0,,
2020-10-15 04:00:00-07:00,0.0,,
2020-10-15 05:00:00-07:00,0.0,,
2020-10-15 06:00:00-07:00,0.0,,
2020-10-15 07:00:00-07:00,95.5977419535319,207.058828692115,175.544002019056
2020-10-15 08:00:00-07:00,363.712382507324,1058.02424488244,997.042133176972
2020-10-15 09:00:00-07:00,632.974934387207,1920.3026701156602,1812.235286628932
2020-10-15 10:00:00-07:00,839.061133829752,2505.06793481795,2380.6213814187195
2020-10-15 11:00:00-07:00,989.437202962239,2799.2543921001106,2609.032202625833
2020-10-15 12:00:00-07:00,1057.5057067871,2826.1606471334935,2666.0
2020-10-15 13:00:00-07:00,1045.18770548502,2833.4350298897243,2666.0
2020-10-15 14:00:00-07:00,947.573529052734,2657.32759316836,2512.3071515758998
2020-10-15 15:00:00-07:00,779.016183471679,2259.49869963016,2159.1667888034217
2020-10-15 16:00:00-07:00,544.091302490234,1629.65467410209,1531.5977537922108
2020-10-15 17:00:00-07:00,263.229233296712,779.675857927654,730.4557143891816
2020-10-15 18:00:00-07:00,78.7982101440429,158.112980247445,129.03478564119905
2020-10-15 19:00:00-07:00,0.0,,
2020-10-15 20:00:00-07:00,0.0,,
2020-10-15 21:00:00-07:00,0.0,,
2020-10-15 22:00:00-07:00,0.0,,
2020-10-15 23:00:00-07:00,0.0,,
2020-10-16 00:00:00-07:00,0.0,,
2020-10-16 01:00:00-07:00,0.0,,
2020-10-16 02:00:00-07:00,0.0,,
2020-10-16 03:00:00-07:00,0.0,,
2020-10-16 04:00:00-07:00,0.0,,
2020-10-16 05:00:00-07:00,0.0,,
2020-10-16 06:00:00-07:00,0.0,,
2020-10-16 07:00:00-07:00,88.574428719023,197.287741079685,167.34941730597376
2020-10-16 08:00:00-07:00,365.68067779541,1081.07338080568,1008.4378028692108
2020-10-16 09:00:00-07:00,638.273818969726,1955.7197442143602,1839.4708745281016
2020-10-16 10:00:00-07:00,850.57827758789,2535.02773076362,2418.719117367795
2020-10-16 11:00:00-07:00,994.708531697591,2828.6086267677233,2666.0
2020-10-16 12:00:00-07:00,1066.51171061197,2820.1601987753515,2666.0
2020-10-16 13:00:00-07:00,1056.58603719075,2795.301767990543,2666.0
2020-10-16 14:00:00-07:00,961.709237670898,2737.42980250744,2581.119301570644
2020-10-16 15:00:00-07:00,790.019142659505,2305.6478437182395,2178.49143627282
2020-10-16 16:00:00-07:00,552.936256917317,1674.47641006528,1559.6473131481212
2020-10-16 17:00:00-07:00,268.299304199218,801.669128261579,742.0743263583589
2020-10-16 18:00:00-07:00,73.790740464863,140.466956568409,113.50584254438328
2020-10-16 19:00:00-07:00,0.0,,
2020-10-16 20:00:00-07:00,0.0,,
2020-10-16 21:00:00-07:00,0.0,,
2020-10-16 22:00:00-07:00,0.0,,
2020-10-16 23:00:00-07:00,0.0,,
2020-10-17 00:00:00-07:00,0.0,,
2020-10-17 01:00:00-07:00,0.0,,
2020-10-17 02:00:00-07:00,0.0,,
2020-10-17 03:00:00-07:00,0.0,,
2020-10-17 04:00:00-07:00,0.0,,
2020-10-17 05:00:00-07:00,0.0,,
2020-10-17 06:00:00-07:00,0.0,,
2020-10-17 07:00:00-07:00,87.0080865784124,192.826515297569,162.98963431768968
2020-10-17 08:00:00-07:00,362.974851735432,1048.35375155597,984.6493597004272
2020-10-17 09:00:00-07:00,635.942681884765,1880.87595125576,1762.102282768687
2020-10-17 10:00:00-07:00,854.444773356119,2451.89981796213,2331.6357578039456
2020-10-17 11:00:00-07:00,1004.12258300781,2790.74108488342,2627.565800878264
2020-10-17 12:00:00-07:00,1072.24685465494,2815.3602398473754,2666.0
2020-10-17 13:00:00-07:00,1060.97758789062,2808.6074860011354,2666.0
2020-10-17 14:00:00-07:00,964.179404703776,2689.15262427025,2537.6051821546703
2020-10-17 15:00:00-07:00,791.141370646158,2272.2295721777105,2125.85357330876
2020-10-17 16:00:00-07:00,554.635371398925,1655.93844908502,1562.732311931006
2020-10-17 17:00:00-07:00,272.634901173909,791.138169763576,744.162804510777
2020-10-17 18:00:00-07:00,91.3980439993051,164.763814086334,137.3499451043723
2020-10-17 19:00:00-07:00,0.0,,
2020-10-17 20:00:00-07:00,0.0,,
2020-10-17 21:00:00-07:00,0.0,,
2020-10-17 22:00:00-07:00,0.0,,
2020-10-17 23:00:00-07:00,0.0,,
2020-10-18 00:00:00-07:00,0.0,,
2020-10-18 01:00:00-07:00,0.0,,
2020-10-18 02:00:00-07:00,0.0,,
2020-10-18 03:00:00-07:00,0.0,,
2020-10-18 04:00:00-07:00,0.0,,
2020-10-18 05:00:00-07:00,0.0,,
2020-10-18 06:00:00-07:00,0.0,,
2020-10-18 07:00:00-07:00,88.3674079613252,192.533100561661,162.89036034880408
2020-10-18 08:00:00-07:00,366.868410491943,1049.0066028436097,971.8866093962783
2020-10-18 09:00:00-07:00,636.901686604817,1868.0191217046101,1792.776932942209
2020-10-18 10:00:00-07:00,853.272045898437,2437.82989910544,2295.635607571889
2020-10-18 11:00:00-07:00,1000.85946858723,2789.33702266642,2629.320146649728
2020-10-18 12:00:00-07:00,1067.54668375651,2822.076326299539,2666.0
2020-10-18 13:00:00-07:00,1051.89675699869,2805.736326824581,2666.0
2020-10-18 14:00:00-07:00,952.821997070312,2667.6403815346794,2498.905523671295
2020-10-18 15:00:00-07:00,778.338372802734,2245.4795407834895,2135.612748765688
2020-10-18 16:00:00-07:00,541.351791381835,1616.33948716171,1518.5928469660028
2020-10-18 17:00:00-07:00,258.623321660359,750.306582483128,698.6261583618291
2020-10-18 18:00:00-07:00,87.5126106262207,157.99810617626198,130.81958504516646
2020-10-18 19:00:00-07:00,0.0,,
2020-10-18 20:00:00-07:00,0.0,,
2020-10-18 21:00:00-07:00,0.0,,
2020-10-18 22:00:00-07:00,0.0,,
2020-10-18 23:00:00-07:00,0.0,,
2020-10-19 00:00:00-07:00,0.0,,
2020-10-19 01:00:00-07:00,0.0,,
2020-10-19 02:00:00-07:00,0.0,,
2020-10-19 03:00:00-07:00,0.0,,
2020-10-19 04:00:00-07:00,0.0,,
2020-10-19 05:00:00-07:00,0.0,,
2020-10-19 06:00:00-07:00,0.0,,
2020-10-19 07:00:00-07:00,82.0816357840191,176.787459979115,148.31076508906992
2020-10-19 08:00:00-07:00,338.512217076619,969.109394639634,904.8806429642148
2020-10-19 09:00:00-07:00,630.570555623372,1848.7847637159298,1732.41938534609
2020-10-19 10:00:00-07:00,848.538169352213,2433.31983707332,2275.8432293391525
2020-10-19 11:00:00-07:00,997.163149007161,2757.4682466073,2595.5746584743656
2020-10-19 12:00:00-07:00,1068.55983683268,2828.712956165213,2666.0
2020-10-19 13:00:00-07:00,1052.24189453125,2836.1311426271373,2666.0
2020-10-19 14:00:00-07:00,953.141442871093,2661.9616995698407,2508.961234523593
2020-10-19 15:00:00-07:00,782.317301432291,2258.49046147569,2118.6271702550694
2020-10-19 16:00:00-07:00,536.357429221824,1611.1431581913,1499.5590012733226
2020-10-19 17:00:00-07:00,258.371313222249,743.15836413548,688.2746137477947
2020-10-19 18:00:00-07:00,80.4512571855024,133.314828729176,105.34838318961694
2020-10-19 19:00:00-07:00,0.0,,
2020-10-19 20:00:00-07:00,0.0,,
2020-10-19 21:00:00-07:00,0.0,,
2020-10-19 22:00:00-07:00,0.0,,
2020-10-19 23:00:00-07:00,0.0,,
2020-10-20 00:00:00-07:00,0.0,,
2020-10-20 01:00:00-07:00,0.0,,
2020-10-20 02:00:00-07:00,0.0,,
2020-10-20 03:00:00-07:00,0.0,,
2020-10-20 04:00:00-07:00,0.0,,
2020-10-20 05:00:00-07:00,0.0,,
2020-10-20 06:00:00-07:00,0.0,,
2020-10-20 07:00:00-07:00,79.1245034905367,160.118124922029,131.6613782985333
2020-10-20 08:00:00-07:00,361.071215565999,1027.85640492585,966.1336079897868
2020-10-20 09:00:00-07:00,626.8369140625,1840.6334590817,1732.530342801923
2020-10-20 10:00:00-07:00,819.393685913086,2365.04703814392,2234.927688057995
2020-10-20 11:00:00-07:00,992.237130737304,2766.88118201031,2598.5209054954285
2020-10-20 12:00:00-07:00,1066.04427286783,2841.744209339006,2666.0
2020-10-20 13:00:00-07:00,1054.1679901123,2823.3029314838072,2666.0
2020-10-20 14:00:00-07:00,950.61806640625,2632.65753280409,2507.8809658243263
2020-10-20 15:00:00-07:00,768.207559204101,2206.7608958188,2080.9485945198453
2020-10-20 16:00:00-07:00,533.668731180826,1589.65315131572,1486.7058071024028
2020-10-20 17:00:00-07:00,252.485902531941,713.153538119384,668.2272136945677
2020-10-20 18:00:00-07:00,82.4739608764648,141.106866759438,113.03918685842156
2020-10-20 19:00:00-07:00,0.0,,
2020-10-20 20:00:00-07:00,0.0,,
2020-10-20 21:00:00-07:00,0.0,,
2020-10-20 22:00:00-07:00,0.0,,
2020-10-20 23:00:00-07:00,0.0,,
2020-10-21 00:00:00-07:00,0.0,,
2020-10-21 01:00:00-07:00,0.0,,
2020-10-21 02:00:00-07:00,0.0,,
2020-10-21 03:00:00-07:00,0.0,,
2020-10-21 04:00:00-07:00,0.0,,
2020-10-21 05:00:00-07:00,0.0,,
2020-10-21 06:00:00-07:00,0.0,,
2020-10-21 07:00:00-07:00,75.8423056602478,158.554579249891,130.1723838014906
2020-10-21 08:00:00-07:00,339.710560099283,953.612667189892,894.659041103959
2020-10-21 09:00:00-07:00,617.122307332356,1804.91620372897,1694.8812263125726
2020-10-21 10:00:00-07:00,835.21669921875,2372.66682163029,2243.8269529698487
2020-10-21 11:00:00-07:00,988.504113769531,2727.47787714416,2579.09456400934
2020-10-21 12:00:00-07:00,1058.83122965494,2812.769598769406,2666.0
2020-10-21 13:00:00-07:00,1050.76413472493,2821.768890929198,2666.0
2020-10-21 14:00:00-07:00,953.957770792643,2643.9282226484706,2469.7586258977085
2020-10-21 15:00:00-07:00,778.631383260091,2231.6488980000204,2103.7894029766703
2020-10-21 16:00:00-07:00,535.076883443196,1588.32945148909,1497.8501713525584
2020-10-21 17:00:00-07:00,229.886026191711,641.357489693262,596.3858436682236
